year,type,country,activity,sex,fatal,species,especies
2015,Unprovoked,australia,Surfing,M,N,unknown,
2015,Unprovoked,usa,Playing in the water,M,N, to  shark,
2015,Unprovoked,usa,Swimming,M,N,bull shark,bull shark
2015,Unprovoked,south africa,Body Boarding,M,N,white shark,white shark
2015,Invalid,usa,Swimming,F,Unknown,shark involvement not confirmed,
2015,Unprovoked,south africa,Surfing,M,N,"white shark,  to m",white shark
2015,Unprovoked,usa,Standing,M,N, shark,
2015,Provoked,australia,Swimming,M,N,wobbegong shark,wobbegong shark
2015,Unprovoked,usa,Body surfing?,M,N,unknown,
2015,Unprovoked,usa,Swimming,M,N,sandtiger shark,
2015,Invalid,australia,Surfing,F,N,white shark,white shark
2015,Unprovoked,usa,Standing,M,N,small shark,
2015,Unprovoked,puerto rico,Spearfishing,M,N,unknown,
2015,Unprovoked,usa,Swimming,M,N,unknown,
2015,Unprovoked,usa,Wading,M,N,bull shark,bull shark
2015,Unprovoked,usa,Wading,F,N,bull shark,bull shark
2015,Unprovoked,usa,Unknown,F,N,mako shark,mako shark
2015,Unprovoked,usa,Boogie boarding,F,N, shark,
2015,Unprovoked,usa,Playing,M,N,"bull shark, ",bull shark
2015,Unprovoked,usa,Attempting to rescue a shark,F,N,small nurse shark,nurse shark
2015,Unprovoked,reunion,Surfing,M,N,"bull shark, m",bull shark
2015,Unprovoked,usa,Standing,F,N,unknown,
2015,Unprovoked,usa,Wading,F,N,unknown,
2015,Unprovoked,french polynesia,Spearfishing,M,N, to m shark,
2015,Unprovoked,usa,Swimming,F,N,unknown,
2015,Unprovoked,usa,Surfing,M,N, shark,
2015,Unprovoked,usa,Unknown,M,N, shark,
2015,Unprovoked,new caledonia,Snorkeling,M,Y,"bull shark, m",bull shark
2015,Unprovoked,usa,Swimming,M,N,unknown,
2015,Unprovoked,australia,Surfing,M,N,white shark,white shark
2015,Unprovoked,south africa,Diving,M,N,"white shark, m",white shark
2015,Unprovoked,usa,Snorkeling,F,Y,unknown,
2015,Unprovoked,usa,Wading,M,N, to foot shark,
2015,Unprovoked,australia,Surfing,M,N,"white shark, m",white shark
2015,Unprovoked,australia,Surf skiing ,M,N,"white shark, m",white shark
